title,popularity,release_date,runtime,vote_average,overview
Indiana Jones and the Temple of Doom,66.976776,5/23/1984,118,7.1,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees â€“ and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace."
The Rugrats Movie,7.981116,11/20/1998,79,5.7,"Tommy faces responsibility when Dil, his new baby brother, is born. As with all newborns, the child becomes a bane to Tommy and the rest of his gang. They decide to return Dil to where he came from, the hospital, but they get lost along the way. Can they find their way home and can Tommy and Dil learn to get along?"
Along Came a Spider,21.252797,4/6/2001,104,6.1,"When a teacher kidnaps a girl from a prestigious school, homicide detective, Alex Cross takes the case and teams up with young security agent, Jezzie Flannigan in hope of finding the girl and stopping the brutal psychopath. Every second counts as Alex and Jezzie attempt to track down the kidnapper before the spider claims another victim for its web."
Florence Foster Jenkins,19.237254,5/6/2016,110,6.6,"The story of Florence Foster Jenkins, a New York heiress, who dreamed of becoming an opera singer, despite having a terrible singing voice."
Once Upon a Time in Mexico,27.555646,9/11/2003,102,6.2,"Hitman ""El Mariachi"" becomes involved in international espionage involving a psychotic CIA agent and a corrupt Mexican general."
Die Hard,66.169628,7/15/1988,131,7.5,"NYPD cop, John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down."
Role Models,24.917665,2/3/2008,99,6.4,"Two salesmen trash a company truck on an energy drink-fueled bender. Upon their arrest, the court gives them a choice: do hard time or spend 150 service hours with a mentorship program. After one day with the kids, however, jail doesn't look half bad."
The Big Short,57.518472,12/11/2015,130,7.3,The men who made millions from a global economic meltdown.
Taking Woodstock,11.870161,9/3/2009,120,6.2,"The story of Elliot Tiber and his family, who inadvertently played a pivotal role in making the famed Woodstock Music and Arts Festival into the happening that it was. When Elliot hears that a neighboring town has pulled the permit on a hippie music festival, he calls the producers thinking he could drum up some much-needed business for his parents' run-down motel. Three weeks later, half a million people are on their way to his neighborâ€™s farm in White Lake, New York, and Elliot finds himself swept up in a generation-defining experience that would change his lifeâ€“and American cultureâ€“forever."
Miracle,7.534003,2/6/2004,135,7,"In 1980, the United States Ice Hockey team's coach, Herb Brooks, put a ragtag squad of college kids up against the legendary juggernaut from the Soviet Union at the Olympic Games. Despite the long odds, Team USA carried the pride of a nation yearning for a distraction from world events. With the world watching, the team rose to the occasion, prompting broadcaster Al Michaels' now famous question to the millions viewing at home: ""Do you believe in miracles?"" Yes!"
Dawn of the Dead,44.529429,3/19/2004,101,6.8,"A group of surviving people take refuge in a shopping center after the world has been over taken over by aggressive, flesh-eating zombies. A remake of the 1978 zombie film of the same name."
The Wedding Planner,14.949395,1/26/2001,103,5.5,"Mary Fiore, San Francisco's premiere wedding planner is rescued from an accident by the man of her dreams, pediatrician Steve Edison, only to find he is the fiancÃ© of her latest client, wealthy Fran Donnolly. As Mary continues making the wedding arrangements, she and Steve are put into a string of uncomfortable situations that force them to face their mutual attraction."
ã‚­ãƒ£ãƒ—ãƒ†ãƒ³ãƒãƒ¼ãƒ­ãƒƒã‚¯,14.726338,9/7/2013,115,6.5,Space Pirate Captain Harlock and his fearless crew face off against the space invaders who seek to conquer the planet Earth.
The Royal Tenenbaums,24.13081,10/5/2001,110,7.4,An estranged family of former child prodigies reunites when their father announces he has a terminal illness.
Identity,45.915165,4/25/2003,90,7.1,"Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out, the travelers begin to turn on each other, as each tries to figure out who the killer is."
Last Vegas,28.043508,10/31/2013,105,6.4,Three sixty-something friends take a break from their day-to-day lives to throw a bachelor party in Las Vegas for their last remaining single pal.
For Your Eyes Only,26.090746,6/23/1981,127,6.3,A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first.
Serendipity,14.530803,10/5/2001,90,6.6,"Although strangers Sara and Jonathan are both already in relationships, they realize they have genuine chemistry after a chance encounter â€“ but part company soon after. Years later, they each yearn to reunite, despite being destined for the altar. But to give true love a chance, they have to find one another again."
Timecop,13.308127,9/15/1994,99,5.5,"An officer for a security agency that regulates time travel, must fend for his life against a shady politician who has a tie to his past."
Zoolander,38.0958,9/28/2001,89,6.1,"Clear the runway for Derek Zoolander, VH1's three-time male model of the year. His face falls when hippie-chic ""he's so hot right now"" Hansel scooters in to steal this year's award. The evil fashion guru Mugatu seizes the opportunity to turn Derek into a killing machine. Its a well-designed conspiracy and only with the help of Hansel and a few well-chosen accessories can Derek make the world safe."
Safe Haven,37.729059,2/7/2013,115,6.9,"A young woman with a mysterious past lands in Southport, North Carolina where her bond with a widower forces her to confront the dark secret that haunts her."
Hocus Pocus,18.650748,7/16/1993,96,6.4,"After 300 years of slumber, three sister witches are accidentally resurrected in Salem on Halloween night, and it us up to three kids and their newfound feline friend to put an end to the witches' reign of terror once and for all."
No Reservations,15.794946,7/25/2007,104,6.1,"Master chef Kate Armstrong runs her life and her kitchen with intimidating intensity. However, a recipe for disaster may be in the works when she becomes the guardian of her young niece while crossing forks with the brash sous-chef who just joined her staff. Though romance blooms in the face of rivalry, Kate needs to look outside the kitchen to find true happiness."
Kick-Ass,45.054936,3/22/2010,117,7.1,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so."
30 Minutes or Less,25.039383,8/11/2011,83,5.6,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and advise him that he has mere hours to rob a bank or else..."
Dracula 2000,6.756771,12/22/2000,99,4.6,"In the millenium version of this classic Gothic horror we find Abraham Van Helsing (Plummer), who has tangled with Count Dracula (Butler) in the past, working as an English antiques dealer. Simon (Miller) is a vampire hunter in training under his apprenticeship."
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",22.14595,10/8/2014,81,6.1,"Alexander's day begins with gum stuck in his hair, followed by more calamities. Though he finds little sympathy from his family and begins to wonder if bad things only happen to him, his mom, dad, brother, and sister all find themselves living through their own terrible, horrible, no good, very bad day."
Pride & Prejudice,36.58383,9/16/2005,135,7.7,"Pride & Prejudice is a humorous story of love and life among English gentility during the Georgian era. Mr. Bennet is an English gentleman living in Hertfordshire with his overbearing wife and five daughters. If Mr. Bennet dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages."
Blade Runner,94.056131,6/25/1982,117,7.9,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans."
Rob Roy,10.703456,4/13/1995,139,6.5,"In the highlands of Scotland in the 1700s, Rob Roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. When the money is stolen, Rob is forced into a Robin Hood lifestyle to defend his family and honour."
3 Days to Kill,41.638961,2/14/2014,113,6,"A dangerous international spy is determined to give up his high stakes life to finally build a closer relationship with his estranged wife and daughter. But first, he must complete one last mission - even if it means juggling the two toughest assignments yet: hunting down the world's most ruthless terrorist and looking after his teenage daughter for the first time in ten years, while his wife is out of town."
We Own the Night,14.518708,5/25/2007,117,6.5,A New York nightclub manager tries to save his brother and father from Russian mafia hitmen.
Lost Souls,3.312385,10/13/2000,97,4.5,"A small group of Catholics led by an ailing priest believe that Satan intends to become man, just as God did in the person of Jesus. The writings of a possessed mental patient lead them to Peter Kelson, a writer who studies serial killers. They think it's his body Satan will occupy. The youngest in the group, a teacher named Maya Larkin, goes to Peter to investigate further and to convince him to believe in the possibility of Evil incarnate. Other signs come to him as he and Maya them take a journey full of strange occurrences, self-discovery, and an ultimate showdown"
Le peuple migrateur,3.75074,12/12/2001,98,7,"The cameras of Jacques Perrin fly with migratory birds: geese, storks, cranes. The film begins with spring in North America and the migration to the Arctic; the flight is a community event for each species. Once in the Arctic, it's family time: courtship, nests, eggs, fledglings, and first flight. Chicks must soon fly south. Bad weather, hunters, and pollution take their toll. Then, the cameras go"
Just My Luck,22.074306,5/12/2006,103,5.8,"Manhattanite Ashley is known to many as the luckiest woman around. After a chance encounter with a down-and-out young man, however, she realizes that she's swapped her fortune for his."
"Mystery, Alaska",4.436792,10/1/1999,119,6,"In Mystery, Alaska, life revolves around the legendary Saturday hockey game at the local pond. But everything changes when the hometown team unexpectedly gets booked in an exhibition match against the New York Rangers. When quirky small-towners, slick promoters and millionaire athletes come together."
The Spy Next Door,14.639324,1/15/2010,94,5.5,"Former CIA spy Bob Ho takes on his toughest assignment to date: looking after his girlfriend's three kids, who haven't exactly warmed to their mom's beau. And when one of the youngsters accidentally downloads a top-secret formula, Bob's longtime nemesis, a Russian terrorist, pays a visit to the family."
A Simple Wish,1.767479,7/11/1997,86,5.5,"Murray is a male fairy godmother, and he is trying to help 8-year-old Anabel to fulfil her ""simple wish"" - that her father Oliver, who is a cab driver, would win the leading role in a Broadway musical. Unfortunately, Murray's magic wand is broken and the fairies convention is threatened by evil witches Claudia and Boots."
Ghosts of Mars,13.145205,8/24/2001,98,4.8,Melanie Ballard (Natasha Henstridge) is a hard nosed police chief in the year 2025. She and a police snatch squad are sent to Mars to apprehend a dangerous criminal James Williams (Ice Cube). Mars has been occupied by humans for some time and they have set up mining facilities. The mining activities on Mars have unleashed the spirits of alien beings who gradually possess the bodies of the workers. It soon turns out that catching the dangerous fugitive takes a back seat as the alien spirits begin to rid their planet of the 'invaders'.
Our Brand Is Crisis,12.921594,9/11/2015,108,5.8,"A feature film based on the documentary ""Our Brand Is Crisis"", which focuses on the use of American political campaign strategies in South America."
Pride and Prejudice and Zombies,28.397048,2/4/2016,108,5.5,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austenâ€™s classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet (Lily James) is a master of martial arts and weaponry and the handsome Mr. Darcy (Sam Riley) is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all."
Kundun,7.039189,12/25/1997,134,6.8,"The Tibetans refer to the Dalai Lama as 'Kundun', which means 'The Presence'. He was forced to escape from his native home, Tibet, when communist China invaded and enforced an oppressive regime upon the peaceful nation. The Dalai Lama escaped to India in 1959 and has been living in exile in Dharamsala ever since."
How to Lose Friends & Alienate People,16.785866,10/2/2008,110,6.2,"A British writer struggles to fit in at a high-profile magazine in New York. Based on Toby Young's memoir ""How to Lose Friends &amp; Alienate People""."
Kick-Ass 2,40.28635,7/17/2013,103,6.3,"After Kick-Assâ€™ insane bravery inspires a new wave of self-made masked crusaders, he joins a patrol led by the Colonel Stars and Stripes. When these amateur superheroes are hunted down by Red Mist â€” reborn as The Mother Fucker â€” only the blade-wielding Hit-Girl can prevent their annihilation."
Alatriste,6.009644,9/1/2006,145,5.6,"In 17th century Spain Diego Alatriste, a brave and heroic soldier, is fighting in his King's army in the Flandes region. His best mate, Balboa, falls in a trap and, near to death, asks Diego to look after his son and teach him to be a soldier."
Brick Mansions,25.520976,4/22/2014,90,5.7,"In a dystopian Detroit, grand houses that once housed the wealthy are now homes of the city's most-dangerous criminals. Surrounding the area is a giant wall to keep the rest of Detroit safe. For undercover cop Damien Collier, every day is a battle against corruption as he struggles to bring his father's killer, Tremaine, to justice. Meanwhile, Damien and an ex-con named Lino work together to save the city from a plot to destroy it."
Octopussy,25.633663,6/5/1983,131,6.2,James Bond is sent to investigate after a fellow â€œ00â€ agent is found dead with a priceless Farberge egg. James bond follows the mystery and uncovers a smuggling scandal and a Russian General who wants to provoke a new World War.
Knocked Up,22.527211,6/1/2007,129,6.2,"For fun loving party animal Ben Stone, the last thing he ever expected was for his one night stand to show up on his doorstep eight weeks later to tell him she's pregnant."
My Sister's Keeper,24.09152,6/26/2009,109,7.1,"Sara and Brian live an idyllic life with their young son and daughter. But their family is rocked by sudden, heartbreaking news that forces them to make a difficult and unorthodox choice in order to save their baby girl's life. The parents' desperate decision raises both ethical and moral questions and rips away at the foundation of their relationship. Their actions ultimately set off a court case that threatens to tear the family apart, while revealing surprising truths that challenge everyone's perceptions of love and loyalty and give new meaning to the definition of healing."
Welcome Home Roscoe Jenkins,6.248273,2/8/2008,114,5.7,"Martin Lawrence leads an all-star cast, including Cedric the Entertainer, Mo'Nique, and Mike Epps, in the hit comedy ""Welcome Home Roscoe Jenkins."" When a celebrated TV show host (Lawrence) returns to his hometown in the South, his family is there to remind him that going home is no vacation! It's one outrageous predicament after another when big-city attitude and small-town values collide in this hysterical comedy critics are praising for its ""over-the-top hilarity!"" (Roger Moore, Orlando Sentinel)."
A Passage to India,9.548391,12/14/1984,163,6.9,"The film is set during the period of growing influence of the Indian independence movement in the British Raj. It begins with the arrival in India of a British woman, Miss Adela Quested (Judy Davis), who is joining her fiancÃ©, a city magistrate named Ronny Heaslop (Nigel Havers). She and Ronny's mother, Mrs. Moore (Peggy Ashcroft), befriend an Indian doctor, Aziz H. Ahmed (Victor Banerjee)."
Notes on a Scandal,12.576381,12/25/2006,92,6.9,"A veteran high school teacher befriends a younger art teacher, who is having an affair with one of her 15-year-old students. However, her intentions with this new ""friend"" also go well beyond platonic friendship."
Rendition,12.741073,9/7/2007,120,6.2,"When an Egyptian terrorism suspect ""disappears"" on a flight from Africa to Washington DC, his American wife and a CIA analyst find themselves caught up in a struggle to secure his release from a secret detention facility somewhere outside the US."
Star Trek VI: The Undiscovered Country,16.188572,12/5/1991,113,6.7,"On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace."
Divine Secrets of the Ya-Ya Sisterhood,5.576937,6/7/2002,116,5.6,"A mother and daughter dispute is resolved by the ""Yaya sisterhood"" - long time friends of the mother."
Kiss the Girls,18.913,10/3/1997,115,6.2,"Forensic psychologist Alex Cross travels to North Carolina and teams with escaped kidnap victim Kate McTiernan to hunt down ""Casanova,"" a serial killer who abducts strong-willed women and forces them to submit to his demands. The trail leads to Los Angeles, where the duo discovers that the psychopath may not be working alone."
The Blues Brothers,44.714264,6/17/1980,133,7.5,"Jake Blues is just out of jail, and teams up with his brother, Elwood on a 'mission from God' to raise funds for the orphanage in which they grew up. The only thing they can do is do what they do best â€“ play music â€“ so they get their old band together and they're on their way, while getting in a bit of trouble here and there."
The Sisterhood of the Traveling Pants 2,11.870301,8/6/2008,117,6,"Four young women continue the journey toward adulthood that began with ""The Sisterhood of the Traveling Pants."" Now three years later, these lifelong friends embark on separate paths for their first year of college and the summer beyond, but remain in touch by sharing their experiences with each other."
Joyful Noise,5.753705,1/13/2012,117,6.7,"G.G. Sparrow faces off with her choir's newly appointed director, Vi Rose Hill, over the group's direction as they head into a national competition."
About a Boy,28.227984,4/26/2002,101,6.6,"Will Freeman is a hip Londoner who one day realizes that his friends are all involved with the responsibilities of married life and that leaves him alone in the cold. Passing himself off as a single father, he starts to meet a string of single mums, confident in his ability to leave them behind when they start to ask for a commitment. But Will's hope of a continued bachelorhood is interrupted when he meets 12-year old Marcus, in many ways his complete opposite."
Lake Placid,11.678561,7/15/1999,82,5.5,"When a man is eaten alive by an unknown creature, the local Game Warden teams up with a paleontologist from New York to find the beast. Add to the mix an eccentric philanthropist with a penchant for ""Crocs"", and here we go! This quiet, remote lake is suddenly the focus of an intense search for a crocodile with a taste for live animals...and people!"
Lucky Number Slevin,36.921445,2/24/2006,110,7.4,"Slevin is mistakenly put in the middle of a personal war between the cityâ€™s biggest criminal bosses. Under constant watch, Slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma. A film with many twists and turns."
The Right Stuff,17.567332,10/20/1983,193,7.3,"A chronicle of the original Mercury astronauts in the formation of America's space program: Alan Shepherd, the first American in space; Gus Grissom, the benighted astronaut for whom nothing works out as planned; John Glenn, the straight-arrow 'boy scout' of the bunch who was the first American to orbit the earth; and the remaining pilots: Deke Slayton, Scott Carpenter and Wally Schirra."
Anonymous,16.698316,10/21/2011,130,6.3,"Set against the backdrop of the succession of Queen Elizabeth I, and the Essex Rebellion against her, the story advances the theory that it was in fact Edward De Vere, Earl of Oxford who penned Shakespeare's plays."
The Neverending Story,47.862016,4/5/1984,102,7,"While hiding from bullies in his school's attic, a young boy discovers the extraordinary land of Fantasia, through a magical book called The Neverending Story. The book tells the tale of Atreyu, a young warrior who, with the help of a luck dragon named Falkor, must save Fantasia from the destruction of The Nothing."
Dark City,39.324831,2/27/1998,100,7.2,"A man struggles with memories of his past, including a wife he cannot remember, in a nightmarish world with no sun and run by beings with telekinetic powers who seek the souls of humans."
The Duchess,18.591657,9/5/2008,110,6.7,"A chronicle of the life of 18th century aristocrat Georgiana, Duchess of Devonshire, who was reviled for her extravagant political and personal life."
Return to Oz,5.650125,6/21/1985,109,6.7,"Dorothy, saved from a psychiatric experiment by a mysterious girl, finds herself back in the land of her dreams, and makes delightful new friends, and dangerous new enemies."
The Newton Boys,3.123583,3/26/1998,113,5.9,"Four Newton brothers are a poor farmer family in the 1920s. The oldest of them, Willis, one day realizes that there's no future in the fields and offers his brothers to become a bank robbers. Soon the family agrees. They become very famous robbers, and five years later execute the greatest train robbery in American history."
Case 39,23.917982,8/13/2009,109,6.1,"In her many years as a social worker, Emily Jenkins believes she has seen it all, until she meets 10-year-old Lilith and the girl's cruel parents. Emily's worst fears are confirmed when the parents try to harm the child, and so Emily assumes custody of Lilith while she looks for a foster family. However, Emily soon finds that dark forces surround the seemingly innocent girl, and the more she tries to protect Lilith, the more horrors she encounters."
Suspect Zero,8.715822,8/27/2004,99,5.5,"A killer is on the loose, and an FBI agent sifts through clues and learns that the bloodthirsty felon's victims of choice are other serial killers."
Martian Child,5.737161,11/2/2007,106,6.8,"A recently-widowed, science fiction writer considers whether to adopt a hyper-imaginative 6-year-old abandoned and socially-rejected boy who says he's really from Mars."
Spy Kids: All the Time in the World,14.788073,8/18/2011,89,4.4,"Eight years after the third film, the OSS has become the world's top spy agency, while the Spy Kids department has since become defunct. A retired spy Marissa (Jessica Alba) is thrown back into the action along with her stepchildren when a maniacal Timekeeper (Jeremy Piven) attempts to take over the world. In order to save the world, Rebecca (Rowan Blanchard) and Cecil (Mason Cook) must team up with their hated stepmother. Carmen and Juni have since also grown up and will provide gadgets to them."
Money Monster,38.279458,5/12/2016,98,6.5,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio.
The 51st State,9.670031,12/7/2001,93,5.9,"Elmo McElroy is a streetwise American master chemist who heads to England to sell his special new formula - a powerful, blue concoction guaranteed to take you to 'the 51st state.' McElroy's new product delivers a feeling 51 times more powerful than any thrill, any pleasure, any high in history. But his plans for a quick, profitable score go comically awry when he gets stuck in Liverpool with an unlikely escort and his ex-girlfriend and becomes entangled in a bizarre web of double-dealing and double-crosses."
Flawless,5.271559,11/26/1999,112,5.9,An ultraconservative police officer suffers a debilitating stroke and is assigned to a rehabilitative program that includes singing lessons - with the drag queen next door.
Mindhunters,17.193659,5/7/2004,106,6.3,Trainees in the FBI's psychological profiling program must put their training into practice when they discover a killer in their midst.
What Just Happened,8.31653,10/17/2008,104,5.2,"During the course of an ordinary week in Hollywood, movie producer Ben (Robert De Niro) must navigate his way through shark-infested waters as he struggles to complete his latest projects. A demanding studio boss (Catherine Keener) demands extensive changes to a movie starring Sean Penn, while another chief won't greenlight a project unless star Bruce Willis shaves his beard. Meanwhile, Ben tries to reconcile with his wife and maintain a relationship with his young daughter."
The Statement,2.653988,12/12/2003,120,5.9,"The film is set in France in the 1990s, the French were defeated by the Germans early in World War II, an armistice was signed in 1940 which effectively split France into a German occupied part in the North and a semi-independent part in the south which became known as Vichy France. In reality the Vichy government was a puppet regime controlled by the Germans. Part of the agreement was that the Vichy Government would assist with the 'cleansing' of Jews from France. The Vichy government formed a police force called the Milice, who worked with the Germans..."
The Magic Flute,0.548435,9/7/2006,133,6.9,"During World War I, in an unnamed country, a soldier named Tamino is sent by the Queen of the Night to rescue her daughter Pamina from the clutches of the supposedly evil Sarastro. But all is not as it seems."
Paul Blart: Mall Cop,31.250383,1/15/2009,91,5.2,"Mild-mannered Paul Blart (Kevin James) has always had huge dreams of becoming a State Trooper. Until then, he patrols the local mall as a security guard. With his closely cropped moustache, personal transporter and gung-ho attitude, only Blart seems to take his job seriously. All that changes when a team of thugs raids the mall and takes hostages. Untrained, unarmed and a super-size target, Blart has to become a real cop to save the day."
Freaky Friday,24.345651,8/3/2003,97,6,"Mother and daughter bicker over everything -- what Anna wears, whom she likes and what she wants to do when she's older. In turn, Anna detests Tess's fiancÃ©. When a magical fortune cookie switches their personalities, they each get a peek at how the other person feels, thinks and lives."
The 40 Year Old Virgin,38.473732,8/11/2005,116,6.2,"Andy Stitzer has a pleasant life with a nice apartment and a job stamping invoices at an electronics store. But at age 40, there's one thing Andy hasn't done, and it's really bothering his sex-obsessed male co-workers: Andy is still a virgin. Determined to help Andy get laid, the guys make it their mission to de-virginize him. But it all seems hopeless until Andy meets small business owner Trish, a single mom."
Shakespeare in Love,31.792964,12/11/1998,122,6.8,"Young Shakespeare is forced to stage his latest comedy, ""Romeo and Ethel, the Pirate's Daughter,"" before it's even written. When a lovely noblewoman auditions for a role, they fall into forbidden love -- and his play finds a new life (and title). As their relationship progresses, Shakespeare's comedy soon transforms into tragedy."
A Walk Among the Tombstones,61.309619,9/18/2014,113,6.2,Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.
Kindergarten Cop,5.411154,12/21/1990,111,5.8,"Hard-edged cop John Kimble gets more than he bargained for when he goes undercover as a kindergarten teacher to get the goods on a brutal drug lord while at the same time protecting the man's young son. Pitted against a class of boisterous moppets whose antics try his patience and test his mettle, Kimble may have met his match â€¦ in more ways than one."
Pineapple Express,41.832392,8/6/2008,111,6.6,A stoner and his dealer are forced to go on the run from the police after the pothead witnesses a cop commit a murder.
EverAfter,21.988861,7/31/1998,121,6.8,"A unique 16th century woman, Danielle possesses a love of books, and can easily quote from Sir Thomas Moreâ€™s Utopia. An intriguing mix of tomboyish athleticism and physical beauty, she has more than enough charm to capture the heart of a prince ... after beaning him with an apple."
Open Range,19.068175,8/29/2003,139,7,A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.
Flatliners,24.114459,8/9/1990,115,6.3,"Five medical students want to find out if there is life after death. They plan to stop one of their hearts for a few seconds, thus simulating death, and then bring the person back to life. A science fiction thriller from the early 1990's with a star studded cast."
A Bridge Too Far,20.256571,6/15/1977,175,6.9,Tells the story of operation Market Garden. A failed attempt by the allies in the latter stages of WWII to end the war quickly by securing three bridges in Holland allowing access over the Rhine into Germany. A combination of poor allied intelligence and the presence of two crack German panzer divisions meant that the final part of this operation (the bridge in Arnhem over the Rhine) was doomed to failure.
Red Eye,8.802626,8/4/2005,85,6.2,"After attending the funeral of her grandmother in Dallas, the Lux Atlantic Hotel manager Lisa is waiting for a flight to Miami. Due to the bad weather and consequent flight delay, she meets in the airport bar Jack Rippner, who is also in the waiting list. They sit together in the plane, and Jack reveals that he wants Lisa to change the room in Lux of an important American politician to facilitate a terrorist attempt against him. Otherwise, Lisa's father will be killed by a hit man. Lisa has to decide what to do with the menacing man at her side."
Final Destination 2,37.355826,1/31/2003,90,5.9,"When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe...Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next."
"O Brother, Where Art Thou?",39.742009,8/30/2000,106,7.3,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'."
Legion,30.981604,1/21/2010,100,5.2,"When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity's only hope for survival lies in a group of strangers trapped in an out-of-the-way, desert diner with the Archangel Michael."
Pain & Gain,31.893932,4/18/2013,130,6.1,"Daniel Lugo, manager of the Sun Gym in 1990s Miami, decides that there is only one way to achieve his version of the American dream: extortion. To achieve his goal, he recruits musclemen Paul and Adrian as accomplices. After several failed attempts, they abduct rich businessman Victor Kershaw and convince him to sign over all his assets to them. But when Kershaw makes it out alive, authorities are reluctant to believe his story."
In Good Company,15.376391,12/29/2004,109,5.9,"Dan Foreman is a seasoned advertisement sales executive at a high-ranking publication when a corporate takeover results in him being placed under naive supervisor Carter Duryea, who is half his age. Matters are made worse when Dan's new supervisor becomes romantically involved with his daughter an 18 year-old college student Alex."
Clockstoppers,5.894163,3/17/2002,94,4.9,"Until now, Zak Gibbs' greatest challenge has been to find a way to buy a car. But when he discovers an odd wristwatch amidst his father's various inventions and slips it on -- something very strange happens. The world around him seems to come to a stop, everything and everybody frozen in time. Zak quickly learns how to manipulate the device and he and his quick-witted and beautiful new friend, Francesca, start to have some real fun."
Silverado,10.981038,7/10/1985,127,7.1,"Four unwitting heroes cross paths on their journey to the sleepy town of Silverado. Little do they know the town where their family and friends reside has been taken over by a corrupt sheriff and a murderous posse. It's up to the sharp-shooting foursome to save the day, but first they have to break each other out of jail, and learn who their real friends are."
Brothers,22.07638,1/27/2009,104,6.8,"When his helicopter goes down during his fourth tour of duty in Afghanistan, Marine Sam Cahill is presumed dead. Back home, brother Tommy  steps in to look over Samâ€™s wife, Grace, and two children. Samâ€™s surprise homecoming triggers domestic mayhem."
Agent Cody Banks 2: Destination London,10.925618,12/3/2004,100,5.2,"With all-new gadgets, high-flying action, exciting chases and a wisecracking new handler, Derek (Anthony Anderson), Cody has to retrieve the device before the world's leaders fall under the evil control of a diabolical villain."
New Year's Eve,21.219292,12/8/2011,118,5.7,The lives of several couples and singles in New York intertwine over the course of New Year's Eve.
Original Sin,14.831402,8/3/2001,118,5.8,"A young man is plunged into a life of subterfuge, deceit and mistaken identity in pursuit of a femme fatale whose heart is never quite within his grasp"
The Raven,22.520842,3/9/2012,111,6.1,"A fictionalized account of the last days of Edgar Allan Poe's life, in which the poet is in pursuit of a serial killer whose murders mirror those in the writer's stories."
Welcome to Mooseport,3.314094,2/24/2004,110,4.8,"A US president (Gene Hackman) who has retired after two terms in office returns to his hometown of Mooseport, Maine and decides to run for Mayor against another local candidate (Ray Romano)."
Highlander III: The Sorcerer,7.964451,11/29/1994,99,4.5,"Starts off in the 15th century, with Connor McLeod (Christopher Lambert) training with another immortal swordsman, the Japanese sorcerer Nakano (Mako). When an evil immortal named Kane (Mario Van Peebles) kills the old wizard, the resulting battle leaves him buried in an underground cave. When Kane resurfaces in the 20th century to create havoc, it's up to McLeod to stop him."
Blood and Wine,1.492056,10/3/1996,101,5.5,"A man who has failed as a father and husband commits a heist to make money for his fledging business, but things become complicated when his wife interferes."
Snow White: A Tale of Terror,4.810621,7/18/1997,100,6,"Based somewhat more authentically on the Grimm Brothers' story of a young woman who is unliked by her stepmother, the film includes the talking mirror, a poisoned apple, and some ruffian gold (not diamond) miners (and they aren't dwarfs or cute). It takes place at the time of the Crusades, and depicts the attitudes of the wealthy and the peasant classes toward one another."
The Curse of the Jade Scorpion,9.317265,8/5/2001,103,6.5,"CW Briggs is a veteran insurance investigator, with many successes. Betty Ann Fitzgerald is a new employee in the company he works for, with the task of reorganizing the office. They don't like each other - or at least that's what they think. During a night out with the rest of the office employees, they go to watch Voltan, a magician who secretly hypnotizes both of them."
Accidental Love,5.644844,2/10/2015,100,3.9,"A small town waitress gets a nail accidentally lodged in her head causing unpredictable behavior that leads her to Washington, DC.  Sparks fly when she meets a clueless young senator who takes up her cause - but what happens when love interferes with what you stand for?"
